time,open,high,low,close,avgPrice,Long Take Profit,Short Take Profit,long safety line,short safety line,Long Stop Loss,Short Stop Loss,Long ASLE Profit,Short ASLE Profit,Trailing Callback Line,Trailing Callback Line,Resistance Line,Support Line,mid Line,StopPassZone,StopPassZone,BoxUp,BoxDown
1760718240,107173.6,107216.9,106622.1,106674.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,107584.5,104431.7,NaN,NaN,NaN,NaN,NaN
1760718420,106674.2,106830.3,106663.2,106745.6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,107584.5,104431.7,NaN,NaN,NaN,NaN,NaN
1760718600,106745.6,106845.8,106528.7,106587.6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,107584.5,104431.7,NaN,NaN,NaN,NaN,NaN
1760718780,106587.6,106647.1,106400,106424.8,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,107584.5,104431.7,NaN,NaN,NaN,NaN,NaN
1760718960,106424.8,106640.8,106424.8,106533.1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,107584.5,104431.7,NaN,NaN,NaN,NaN,NaN
1760719140,106533.1,106671.1,106493,106501.6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,107584.5,104431.7,NaN,NaN,NaN,NaN,NaN
1760719320,106501.6,106610,106501.6,106564.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,107584.5,104431.7,NaN,NaN,NaN,NaN,NaN
1760719500,106564.5,106686.4,106484.3,106628.9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,107584.5,104431.7,NaN,NaN,NaN,NaN,NaN
1760719680,106628.9,106881.4,106587.8,106593.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,107584.5,104431.7,NaN,NaN,NaN,NaN,NaN
1760719860,106593.5,106610.5,106277,106463.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,107584.5,104431.7,NaN,NaN,NaN,NaN,NaN
1760720040,106463.5,106463.5,106185.6,106250.6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,107584.5,104431.7,NaN,NaN,NaN,NaN,NaN
1760720220,106250.6,106349.6,106179.7,106324.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,107584.5,104431.7,NaN,NaN,NaN,NaN,NaN
1760720400,106324.5,106388.1,106229.4,106329.7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,107584.5,104431.7,NaN,NaN,NaN,NaN,NaN
1760720580,106329.7,106477.9,106277.3,106468,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,107584.5,104431.7,NaN,NaN,NaN,NaN,NaN
1760720760,106468,106679.6,106444.9,106526.2,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,107584.5,104431.7,NaN,NaN,NaN,NaN,NaN
1760720940,106526.2,106561.4,106340,106388.7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,107584.5,104431.7,NaN,NaN,NaN,NaN,NaN
1760721120,106388.7,106639.1,106380.6,106589.6,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,107584.5,104431.7,NaN,NaN,NaN,NaN,NaN
1760721300,106589.6,106670,106406.7,106461.3,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,107584.5,104431.7,NaN,NaN,NaN,NaN,NaN
1760721480,106461.3,106461.3,106219.9,106328.9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,107584.5,104431.7,NaN,NaN,NaN,NaN,NaN
1760721660,106328.9,106444,106130.4,106386.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,107584.5,104431.7,NaN,NaN,NaN,NaN,NaN
1760721840,106386.5,106415.2,106222.9,106251.4,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,107584.5,104431.7,NaN,NaN,NaN,NaN,NaN
1760722020,106251.4,106262.7,106035,106160.5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,107584.5,104431.7,NaN,NaN,NaN,NaN,NaN
1760722200,106160.5,106248.2,106088.2,106245.7,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,107584.5,104431.7,NaN,NaN,NaN,NaN,NaN
1760722380,106245.7,106527.5,106210,106410,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,107584.5,104431.7,NaN,NaN,NaN,NaN,NaN
1760722560,106410,106483.6,106304.8,106374.1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,107584.5,104580,NaN,NaN,NaN,NaN,NaN
1760722740,106374.1,106400,106228.1,106300,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,107584.5,104580,NaN,NaN,NaN,NaN,NaN
